0,1,1,1,,,,,,,,,,,,,,,,,,
0.1,1,1,1,,,,,,,,,,,,,,,,,,
0.2,1,1,2,,,,,,,,,,,,,,,,,,
0.3,1,1,3,,,,,,,,,,,,,,,,,,
0.4,1,1,5,,,,,,,,,,,,,,,,,,
0.5,1,1,4.333333333,,,,,,,,,,,,,,,,,,
0.6,1,1,2.1875,,,,,,,,,,,,,,,,,,
0.7,1,1,1.9,,,,,,,,,,,,,,,,,,
0.8,1,1,1.84,,,,,,,,,,,,,,,,,,
0.82,1,2,1.84,,,,,,,,,,,,,,,,,,
0.84,1,3,1.703703704,,,,,,,,,,,,,,,,,,
0.86,1,2.5,1.516129032,,,,,,,,,,,,,,,,,,
0.88,1,1.6,1.333333333,,,,,,,,,,,,,,,,,,
0.9,1,1.333333333,1.225,,,,,,,,,,,,,,,,,,
0.92,1,1.3,1.133333333,,,,,,,high,,,low,,,,,,,,
0.94,1,1.16,1.039215686,,,,,,,0,0,,0,0,,,,,,,
0.96,1,1.125,1.036363636,,,,,,,0,0,,0,0,,,,,,,
0.98,1,1.088888889,1.016949153,,,,,,,0,0,,0,1,,,,#DIV/0!,,,0
1,1,1,1,,,,,,,0,0,,0,3,,,,#DIV/0!,,,0
,,,,,,,,,,0,1,,0,5,,,,5,,,0.2
,,,,,,,,,,0,3,,0,13,,,,4.333333333,,,0.230769231
,,,,,,,,,,0,10,,0,19,,,,1.9,,,0.526315789
,,,,,,,,,,0,16,,0,35,,,,2.1875,,,0.457142857
,,,,,,,,,,0,25,,0,46,,,,1.84,,,0.543478261
,,,,,,,,,,9,40,,12,49,,,,1.225,,,0.816326531
,,,,,,,,,,70,65,,70,65,,,,1,,,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.82,1,25,2,46,,,,2,,,0.5
,,,,,,,,,,0.84,1,27,3,46,,,,3,,,0.333333333
,,,,,,,,,,0.86,2,31,5,47,,,,2.5,,,0.4
,,,,,,,,,,0.88,5,36,8,48,,,,1.6,,,0.625
,,,,,,,,,,0.9,9,40,12,49,,,,1.333333333,,,0.75
,,,,,,,,,,0.92,10,45,13,51,,,,1.3,,,0.769230769
,,,,,,,,,,0.94,25,51,29,53,,,,1.16,,,0.862068966
,,,,,,,,,,0.96,32,55,36,57,,,,1.125,,,0.888888889
,,,,,,,,,,0.98,45,59,49,60,,,,1.088888889,,,0.918367347
,,,,,,,,,,1,70,65,70,65,,,,1,,,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.82,,2,1.84,,,,,,,,
,,,,,,,,,,0.84,,3,1.703703704,,,,,,,,
,,,,,,,,,,0.86,,2.5,1.516129032,,,,,,,,
,,,,,,,,,,0.88,,1.6,1.333333333,,,,,,,,
,,,,,,,,,,0.9,,1.333333333,1.225,,,,,,,,
,,,,,,,,,,0.92,,1.3,1.133333333,,,,,,,,
,,,,,,,,,,0.94,,1.16,1.039215686,,,,,,,,
,,,,,,,,,,0.96,,1.125,1.036363636,,,,,,,,
,,,,,,,,,,0.98,,1.088888889,1.016949153,,,,,,,,
,,,,,,,,,,1,,1,1,,,,,,,,
