Only Interestingness,5,0.2770336674439577,0.1875,0.4645336674439577,0:00:00.002000
Only Diversity,5,0.14129244975109764,0.25,0.39129244975109767,0:00:00.042999
i-DiVE Greedy,5,0.250416497329488,0.23333333333333334,0.48374983066282135,0:00:01.562020
i-DiVE-SwapI,5,0.25720794492968746,0.24166666666666664,0.4988746115963541,0:00:09.419123
i-DiVE-SwapD,5,0.28252187255892225,0.2125,0.49502187255892227,0:00:13.490174
Only Interestingness,10,0.26072145258106283,0.1722222222222222,0.432943674803285,0:00:00.004899
Only Diversity,10,0.10492185072564118,0.2481481481481481,0.35306999887378926,0:00:00.052001
i-DiVE Greedy,10,0.24137231573958828,0.22222222222222218,0.4635945379618105,0:00:04.427091
i-DiVE-SwapI,10,0.24212678085477532,0.24074074074074076,0.48286752159551605,0:00:30.865367
i-DiVE-SwapD,10,0.27153411623752693,0.20648148148148152,0.4780155977190085,0:00:56.380434
Only Interestingness,15,0.24661842453110167,0.1773809523809524,0.423999376912054,0:00:00.006000
Only Diversity,15,0.09962607940063917,0.24404761904761907,0.34367369844825824,0:00:00.066028
i-DiVE Greedy,15,0.22643228389058287,0.22182539682539684,0.4482576807159797,0:00:08.274106
i-DiVE-SwapI,15,0.22859607836562998,0.2337301587301587,0.4623262370957887,0:00:37.660488
i-DiVE-SwapD,15,0.26587419522584504,0.205952380952381,0.47182657617822604,0:01:43.748896
